epoch,loss,harm_loss,delta_loss,validation_harm_auroc,validation_harm_auprc,validation_brier,validation_sample_count,validation_harm_fraction,validation_best_selective_gain,validation_best_selective_harm,validation_best_selective_coverage,validation_best_selective_harm_threshold,validation_best_selective_gain_threshold,validation_selective_feasible,learning_rate
1,1.2802878548346637,1.2802878548346637,0.0,0.594053161636056,0.5393347253840031,0.28004377282424525,563324,0.45297732743501073,0.03790503367781639,0.05658627087198516,0.034445541109556846,0.5499999999999999,-inf,True,0.0019676295349744023
2,1.2451335425705663,1.2451335425705663,0.0,0.5871176453358546,0.5230924188486674,0.27389695845065254,563324,0.45297732743501073,0.039657335728406906,0.07331684201114655,0.0595625252962771,0.5499999999999999,-inf,True,0.001872724133594966
3,1.224129950049299,1.224129950049299,0.0,0.5817240359573023,0.5075254313359634,0.28016280615950984,563324,0.45297732743501073,0.040210869163274765,0.07559647672529289,0.062274996272127583,0.5499999999999999,-inf,True,0.0017217514421269924
4,1.214402136794574,1.214402136794574,0.0,0.5863853958906404,0.5066038295047386,0.28027074159438253,563324,0.45297732743501073,0.03952405974268913,0.03428384849804092,0.048930988205721754,0.49999999999999994,-inf,True,0.001524999999999803
5,1.2075505664766164,1.2075505664766164,0.0,0.5954581891980829,0.5100071523443634,0.2760801065239769,563324,0.45297732743501073,0.03982474282383919,0.047748253493013974,0.056919286236695045,0.49999999999999994,-inf,True,0.0012958780928472306
6,1.1989290839052704,1.1989290839052704,0.0,0.5962680687474786,0.511054174475135,0.2777137914506034,563324,0.45297732743501073,0.03997037932276726,0.05180624222754709,0.05852582172959079,0.49999999999999994,-inf,True,0.00104999999999986
7,1.1974081280217077,1.1974081280217077,0.0,0.6013558217946925,0.5136088562992652,0.28097903800828794,563324,0.45297732743501073,0.03976115584373474,0.046071473041962394,0.05702579687710802,0.49999999999999994,-inf,True,0.0008041219071524763
8,1.1983641775247136,1.1983641775247136,0.0,0.6055082844586822,0.5168163856618182,0.2795045238553118,563324,0.45297732743501073,0.039945002645254135,0.05166964818127609,0.05953944799085429,0.49999999999999994,-inf,True,0.0005749999999999164
9,1.194390678456757,1.194390678456757,0.0,0.6051662523886108,0.5172545000356255,0.2804544303017167,563324,0.45297732743501073,0.03995290771126747,0.05179306641207709,0.05950039408936953,0.49999999999999994,-inf,True,0.0003782485578727464
10,1.1955167277710006,1.1955167277710006,0.0,0.6070817706462575,0.5186168390204037,0.280795698127337,563324,0.45297732743501073,0.039928894490003586,0.05143401733329362,0.059605129552442286,0.49999999999999994,-inf,True,0.0002272758664047833
11,1.1935565634084575,1.1935565634084575,0.0,0.6073611383228859,0.5190064947955165,0.2804278728263594,563324,0.45297732743501073,0.03999195620417595,0.05264706747888526,0.06032230119788967,0.49999999999999994,-inf,True,0.00013237046502538583
12,1.1952423319243042,1.1952423319243042,0.0,0.6075003518776396,0.5191378535885058,0.2803391552562234,563324,0.45297732743501073,0.040041591972112656,0.05290122372504245,0.06063650758710795,0.49999999999999994,-inf,True,0.0001
