backbone,method,valid_count,epe,raw_epe,bad1,bad3,bad5,boundary_epe,non_boundary_epe,intervention_coverage,intervention_precision,false_update_rate,clean_pixel_degradation,new_bad3
S2M2-S,raw,9566521,0.5697185330792908,0.5697185330792908,0.07786791050839996,0.037245723919838075,0.022121416952988224,1.4595992744178043,0.4385780753897369,0.0,0.0,0.0,0.0,0.0
S2M2-S,aligned_memory,9566521,0.5692384689820679,0.5697185330792908,0.07791150001040244,0.03708349155510317,0.022006014526407363,1.4615738082555996,0.4377680003357752,0.4470032513873151,0.5175643873751614,0.41624023920202646,0.19268316741747732,0.0018731514804928447
S2M2-S,fixed_blend_50,9566521,0.5664133382603526,0.5697185330792908,0.07771466774834937,0.03698617295180967,0.02201991720231106,1.4562929522131125,0.4351802524117056,0.4470032513873151,0.553597197352574,0.41624023920202646,0.17157018161773285,0.0008147732512672588
S2M2-S,oracle_raw_memory,9566521,0.5289835676893533,0.5697185330792908,0.07261741237141585,0.03578092813818007,0.02135144009867786,1.3885213189495262,0.40165742295763174,0.23760779913284513,0.9645350759324064,0.2158624000358951,0.0,0.0
S2M2-S,learned_no_abstention,9566521,0.564448204974596,0.5697185330792908,0.07622175305251844,0.036829689698576445,0.021945490916119963,1.4507820019495803,0.4337408979737392,0.010414235208675154,0.39958716045471565,0.007860853509974963,0.004095999668098361,3.992908716378114e-06
S2M2-S,learned_calibrated,9566521,0.5644463399798769,0.5697185330792908,0.07622028961262194,0.036829898761316586,0.021945490916204076,1.4507299361377428,0.43373958670260443,0.010410576610512302,0.39974380283436256,0.007857714813850883,0.004093261358705299,3.992908716378114e-06
S2M2-S,unwarped_previous_control,9566521,0.5653646658341482,0.5697185330792908,0.07745710282333589,0.03705829947773621,0.021836673937464218,1.448871901946481,0.4375370354916644,0.4470032513873151,0.49437034339932145,0.41624023920202646,0.1891499449533208,0.0028274444578929
S2M2-S,identity_no_flow_control,9566521,0.5653646658341482,0.5697185330792908,0.07745710282333589,0.03705829947773621,0.021836673937464218,1.448871901946481,0.4375370354916644,0.4470032513873151,0.49437034339932145,0.41624023920202646,0.1891499449533208,0.0028274444578929
S2M2-S,shuffled_memory_control,9566521,0.5933884899878735,0.5697185330792908,0.08555764430132722,0.03984092028623127,0.0230423368959226,1.4785366328209963,0.4664350336407155,0.4470032513873151,0.4494888020386379,0.41624023920202646,0.18643091765294245,0.006651988520807136
RAFT-Stereo,raw,9566521,0.5152945743449898,0.5152945743449898,0.07178199905491003,0.035631866513198905,0.020369787481603355,1.3247302866416564,0.4018650311590299,0.0,0.0,0.0,0.0,0.0
RAFT-Stereo,aligned_memory,9566521,0.5117410209684189,0.5152945743449898,0.07126028363447769,0.03539813483641804,0.020264420035902533,1.319356886153995,0.3984819399149532,0.47413411827160107,0.5165105598444423,0.4454296835058816,0.2046296418890887,0.0036206426072663473
RAFT-Stereo,fixed_blend_50,9566521,0.5047382059492939,0.5152945743449898,0.07103345105547074,0.035368343357052336,0.020212990706485662,1.2963491030890295,0.39489590283320036,0.47413411827160107,0.5649129197708369,0.4454296835058816,0.1788655692696732,0.0018761656433717371
RAFT-Stereo,oracle_raw_memory,9566521,0.45411489781742503,0.5152945743449898,0.06528015775802819,0.032826771563369175,0.018446099685660026,1.1919994374139748,0.35266506603926573,0.2545386144651705,0.9597968959148183,0.23129011567725694,0.0,0.0
RAFT-Stereo,learned_no_abstention,9566521,0.49933428672064006,0.5152945743449898,0.07118658930341237,0.034909242319193394,0.01962981109137973,1.2860467755668794,0.3919115566703873,0.011536273220600368,0.528782867085475,0.008387671034363674,0.004907359293381127,0.00017998562394995116
RAFT-Stereo,learned_calibrated,9566521,0.4993369506392522,0.5152945743449898,0.07118575305890239,0.03490882418310464,0.019630856409851464,1.2860264257186602,0.3919127787752836,0.011524983825111646,0.5291061338820648,0.0083695999030677,0.004893057093102178,0.00017898243483765203
RAFT-Stereo,unwarped_previous_control,9566521,0.5112479445624116,0.5152945743449898,0.070866305590491,0.03538966775784592,0.020168460403035566,1.3191240709179421,0.3994480793279141,0.47413411827160107,0.49423341903457957,0.4454296835058816,0.2017695233145337,0.004228580975174151
RAFT-Stereo,identity_no_flow_control,9566521,0.5112479445624116,0.5152945743449898,0.070866305590491,0.03538966775784592,0.020168460403035566,1.3191240709179421,0.3994480793279141,0.47413411827160107,0.49423341903457957,0.4454296835058816,0.2017695233145337,0.004228580975174151
RAFT-Stereo,shuffled_memory_control,9566521,0.5577568053403771,0.5152945743449898,0.08232261254298344,0.04159098169452819,0.02345189025439121,1.3579471482396117,0.44734549150268854,0.47413411827160107,0.45188360433006736,0.4454296835058816,0.19741941354082615,0.01144350218437163
StereoAnywhere,raw,9566521,0.5160433240038804,0.5160433240038804,0.0704518393139525,0.035097189430894495,0.020620662387581312,1.2744323122876104,0.41277106056898605,0.0,0.0,0.0,0.0,0.0
StereoAnywhere,aligned_memory,9566521,0.5140920240546608,0.5160433240038804,0.07002451569717624,0.034945514735111566,0.020612299933561427,1.271356931825351,0.4109925070712819,0.4328344650301264,0.5227857106802986,0.40275646568296897,0.18432770106154334,0.0034078623388769363
StereoAnywhere,fixed_blend_50,9566521,0.5105069889571903,0.5160433240038804,0.07059996002009626,0.03515509975094938,0.02057519133001519,1.2622364602536555,0.4083677734508658,0.4328344650301264,0.5609654409763473,0.40275646568296897,0.16417217430435838,0.0019107073823915227
StereoAnywhere,oracle_raw_memory,9566521,0.4609804769981165,0.5160433240038804,0.06417442667385771,0.032492480782763726,0.018809032089199505,1.1796946617393196,0.3632513112308817,0.234240221629698,0.9640044123492645,0.2107448653517592,0.0,0.0
StereoAnywhere,learned_no_abstention,9566521,0.49802922101126157,0.5160433240038804,0.06875404337275791,0.03379316259156532,0.01957357326368162,1.2523271919969232,0.3957169607666197,0.009346762551794048,0.4651938272382643,0.005135041663725382,0.002145253898764069,9.794600907690743e-05
StereoAnywhere,learned_calibrated,9566521,0.498027890778546,0.5160433240038804,0.06875362524794391,0.033792744466539966,0.019573886857376908,1.2523050215754277,0.3957160166154814,0.00934383567927887,0.4656656833583823,0.005134600268565898,0.002144812503604585,9.741088186088868e-05
StereoAnywhere,unwarped_previous_control,9566521,0.5136351565622712,0.5160433240038804,0.06974479030651244,0.03494457391800013,0.020505678140232183,1.273055738504575,0.41199591669652696,0.4328344650301264,0.4950260912106404,0.40275646568296897,0.18178640847221667,0.004169605545966135
StereoAnywhere,identity_no_flow_control,9566521,0.5136351565622712,0.5160433240038804,0.06974479030651244,0.03494457391800013,0.020505678140232183,1.273055738504575,0.41199591669652696,0.4328344650301264,0.4950260912106404,0.40275646568296897,0.18178640847221667,0.004169605545966135
StereoAnywhere,shuffled_memory_control,9566521,0.5637752569645476,0.5160433240038804,0.08207246915079357,0.04115864075612837,0.023747399922209332,1.3217922076450446,0.46296601724353337,0.4328344650301264,0.45130913265143763,0.40275646568296897,0.18166760386124525,0.011181549195781465
