dataset,backbone,sequence,method,coverage_threshold,frames,valid_count,raw_epe,epe,refined_minus_raw_epe,bad1,bad3,boundary_epe,new_bad3,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,mean_clean_update,frames_worsened,worst_frame_degradation,p95_frame_degradation,catastrophic_tail_p99,raw_mc_temporal_error,refined_mc_temporal_error
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,raw,0.05,160,1683403,2.505127306637415,2.505127306637415,0.0,0.17502107368054284,0.14092228623968026,7.145853085305718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23483281774821785,0.23483281774821785
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,a2_no_authorization,0.05,160,1683403,2.505127306637415,2.4558179639217417,-0.04930935912876687,0.17463792126126515,0.13817725161299144,6.921352688216832,0.000765468054114595,0.32488239595628615,0.5853434215626759,0.21705147690692253,0.1054863961945536,0.04930988695918934,0.03125,0.03244900330901146,-0.0035441792220808704,0.004180937544442711,0.23483281774821785,0.23579332909150905
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,m0_scared_only,0.05,160,1683403,2.505127306637415,2.4625832060336132,-0.04254409314148689,0.17482563635843962,0.1384154593859442,6.950984463577088,0.0005317479070395,0.08348387165758882,0.7756462710887524,0.018187365651821455,0.013936911840005064,0.01012349387517107,0.00625,0.01638571172952652,-0.011395144788548353,-0.007529227258637556,0.23483281774821785,0.2442258837149229
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,multidomain,0.05,160,1683403,2.505127306637415,2.4742244604245642,-0.030902856177809683,0.1748012804185721,0.13937363784852497,7.00567309568163,0.00033121878867993656,0.03400611737058803,0.838294378646543,0.004558810522104713,0.0041052015719700505,0.004258389281346948,0.01875,0.014598103240132332,-0.006098968209698801,0.007640956048853682,0.23483281774821785,0.24057052026062317
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,oracle_authorization,0.05,160,1683403,2.505127306637415,2.425961270763341,-0.07916603784595275,0.16832214291801656,0.13751965478629594,6.8549454506416465,0.0,0.19296745936653315,0.985491408130722,0.10778608808128283,0.0,0.019578741523261292,0.0,-0.022971397265791893,-0.029491977859288462,-0.0256176108494401,0.23483281774821785,0.2300710221252259
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,raw,0.25,160,1608626,2.207334267143472,2.207334267143472,0.0,0.15607978425331082,0.12615424560904728,6.458253487468229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21683748615526,0.21683748615526
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,a2_no_authorization,0.25,160,1608626,2.207334267143472,2.1642415660000585,-0.043092692853949885,0.15593804796081856,0.12401639659414421,6.228264872321343,0.0006608849344718964,0.30986382167141396,0.5782267205665507,0.2131008591676245,0.10269575212311152,0.04740295170401623,0.04375,0.02893718332052231,-0.00239406962646175,0.00845355222932993,0.21683748615526,0.21606799450593672
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,m0_scared_only,0.25,160,1608626,2.207334267143472,2.1703869126502395,-0.03694734930159293,0.15613884031879535,0.12423024348794041,6.260477964508437,0.0004567148844567797,0.07207766130847071,0.7686336742966553,0.01608437869528905,0.012309498805103737,0.008449089905172883,0.0125,0.012965924106538296,-0.009511168068274858,-0.0018213962495792872,0.21683748615526,0.2244038410750545
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,multidomain,0.25,160,1608626,2.207334267143472,2.1784414853297656,-0.028892773364259633,0.15567819929945292,0.12475988835426402,6.305243386077265,0.0002760208327552211,0.031268921427354775,0.8473359840954274,0.0038873407149531553,0.0034606511150986926,0.003272431072370176,0.01875,0.009587482549250126,-0.004981506709009409,0.00475300623569637,0.21683748615526,0.2218003053672083
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,oracle_authorization,0.25,160,1608626,2.207334267143472,2.1359069016719183,-0.0714273514265346,0.15036994238300555,0.12343888488311171,6.158810650807545,0.0,0.18201620513407094,0.9843713711935955,0.10664345783959447,0.0,0.01939105361953792,0.0,-0.015989437699317932,-0.02778796674683691,-0.02188628068193794,0.21683748615526,0.21116564350454425
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,raw,0.5,160,1080260,2.0566170331282083,2.0566170331282083,0.0,0.15639568235510892,0.1317321749169307,5.592373080758894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19187944165941498,0.19187944165941498
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,a2_no_authorization,0.5,160,1080260,2.0566170331282083,2.0154609544279967,-0.04115606130329877,0.15586803189068316,0.12970303448841117,5.3900915550803346,0.0007207168801974614,0.3037916797807935,0.557335437907939,0.19795857327111796,0.1019708492585819,0.04465625771057643,0.06875,0.02266082912683487,0.0016815219540148856,0.012959572803229069,0.19187944165941498,0.19676903657056663
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,m0_scared_only,0.5,160,1080260,2.0566170331282083,2.0211889745631404,-0.03542801349137632,0.1559874474696882,0.12991964879859896,5.423064916219139,0.0004733702606004518,0.0710384537055894,0.7770263226479021,0.015270505592407425,0.011509920449615135,0.006970594143171811,0.0125,0.00633165892213583,-0.005847115535289063,0.0016887323668924904,0.19187944165941498,0.20184376021466446
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,multidomain,0.5,160,1080260,2.0566170331282083,2.0269366887117477,-0.029680324779361493,0.1557967521310209,0.13027511885996346,5.443187213058797,0.00028892644166256856,0.03332623627645197,0.8516430099163912,0.003898902798154346,0.0034177465098436063,0.0028677881282253717,0.03125,0.0026851180009543896,-0.0030409849830903123,0.00129097793367691,0.19187944165941498,0.19901268243985687
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,oracle_authorization,0.5,160,1080260,2.0566170331282083,1.9885968293431937,-0.06802018676359385,0.15189028546015934,0.12907725884852503,5.322671303029664,0.0,0.1720548756780775,0.9840689966857488,0.09242338443205234,0.0,0.018227093620448467,0.0,-0.007456328719854355,-0.0222556134685874,-0.014882252458483,0.19187944165941498,0.1917537522249278
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,raw,0.9,160,43664,1.702126765512435,1.702126765512435,0.0,0.2777345185852331,0.17643825553198741,3.0950197124247496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1953290978444214,0.1953290978444214
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,a2_no_authorization,0.9,160,43664,1.702126765512435,1.6061530953847192,-0.09597367386166193,0.26232136454304883,0.16558263102544968,2.8628793277920237,0.00311457174642372,0.3887871015023818,0.6030278039585297,0.20322829625155206,0.13003792073559514,0.056426120104456405,0.036231884057971016,0.06069129332900047,-0.0031796019553439535,0.009240378085523807,0.1953290978444214,0.26869445627117744
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,m0_scared_only,0.9,160,43664,1.702126765512435,1.6176776688248355,-0.08444909458414653,0.26296262433510115,0.16707127230906857,2.8967977728722576,0.0021412680818294243,0.17089593257603516,0.8052800857678907,0.028625121648377463,0.020806067317695225,0.016488130516976906,0.014492753623188406,0.19768646359443665,-0.00761925620026886,0.001432344436179836,0.1953290978444214,0.2613016017506185
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,multidomain,0.9,160,43664,1.702126765512435,1.6334155139514337,-0.06871125713235256,0.2662376333410299,0.16988823768355502,2.950343702147579,0.0017797552827485135,0.09889153536093807,0.7758221398795738,0.017316017316017316,0.015470317795899191,0.016668628687830745,0.057971014492753624,0.16339881718158722,0.005301335453987126,0.05203704401850682,0.1953290978444214,0.24774923444237218
SCARED-C-test,S2M2-S,dataset_7_keyframe_3,oracle_authorization,0.9,160,43664,1.702126765512435,1.5665920641069864,-0.13553469741721078,0.25338952073410353,0.16301758831474225,2.790177652635066,0.0,0.23857182117991937,0.9827205529423059,0.06694855532064835,0.0,0.017514706940586346,0.0,-0.02399444580078125,-0.0511794226244092,-0.04145586378872399,0.1953290978444214,0.24974846028828274
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,raw,0.05,160,1683403,2.137818171433408,2.137818171433408,0.0,0.17468128604230407,0.13407306513822503,6.126049037281212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6837115653662039,0.6837115653662039
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,a2_no_authorization,0.05,160,1683403,2.137818171433408,2.054897821132546,-0.08292035844417997,0.17227009871554014,0.13011441702282597,5.832784192898088,0.001708165723385421,0.3589912813509302,0.6320717095215008,0.25558934585797227,0.10542755975811091,0.05204773056788192,0.0125,0.005884778685867786,-0.007738504931330684,-0.0001163384260144183,0.6837115653662039,0.6367990836165125
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,m0_scared_only,0.05,160,1683403,2.137818171433408,2.0768600452095063,-0.060958121788787345,0.172466129719939,0.13044291867666197,5.891839821225635,0.0013802527854438378,0.09579286718628872,0.7570291086333701,0.019191715555361824,0.013990586282936139,0.011472853493336824,0.00625,0.004336652345955372,-0.009649567026644946,-0.001109401221619923,0.6837115653662039,0.6590954893108567
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,multidomain,0.05,160,1683403,2.137818171433408,2.0978974642880956,-0.03992071446334339,0.17336371694373315,0.13147416298864845,5.980319726421054,0.0008774072106530194,0.03712955246010611,0.8258831434788173,0.004508371856613225,0.00409349578624464,0.004878559188731068,0.025,0.01503726840019226,-0.005730719328857962,0.00889826296828687,0.6837115653662039,0.667383098219363
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,oracle_authorization,0.05,160,1683403,2.137818171433408,2.023617120457008,-0.11420106484439578,0.166020258543659,0.12863527050434911,5.750210387130994,0.0,0.23156130766073246,0.9799056465825746,0.14407719652749507,0.0,0.022453331540344842,0.0,-0.03176392614841461,-0.03632945623248819,-0.03182599853724241,0.6837115653662039,0.6355976264528796
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,raw,0.25,160,1608626,1.8791611616690511,1.8791611616690511,0.0,0.15604124181010232,0.12024236830516098,5.483299393017433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628980520398157,0.628980520398157
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,a2_no_authorization,0.25,160,1608626,1.8791611616690511,1.8043390986698458,-0.07482207759534018,0.1541806486719088,0.11688546579315513,5.190148313947808,0.001567975150205438,0.3447339530754818,0.6278717081298644,0.2521831911745092,0.10221224746432268,0.04989505694321216,0.025,0.00955757312476635,-0.005740726436488379,0.0045265887305140345,0.628980520398157,0.582166668417582
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,m0_scared_only,0.25,160,1608626,1.8791611616690511,1.8243487987880558,-0.054812398304830305,0.15434849270222964,0.11718883059899415,5.248652605881103,0.001269784285744758,0.08315854648625597,0.7534816963317909,0.016696252214946684,0.012052009170990708,0.00950951934885405,0.025,0.00792226567864418,-0.0059679186670109656,0.0036630065646022403,0.628980520398157,0.6029935568768853
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,multidomain,0.25,160,1608626,1.8791611616690511,1.8411111448210427,-0.03805003746175724,0.1545722867849296,0.11784342644749014,5.327730068933616,0.0008111921860928623,0.034329297176596676,0.8344892526664615,0.0038051037452446128,0.0034129232215327748,0.00385277153282615,0.025,0.013808205723762512,-0.004377215704880655,0.008857708843424914,0.628980520398157,0.6118089848507333
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,oracle_authorization,0.25,160,1608626,1.8791611616690511,1.7748664327913322,-0.1042947498057691,0.14875241306202847,0.1155060277747665,5.102087733843878,0.0,0.22122668662572903,0.9784022862216927,0.14387864950175608,0.0,0.022309056985074932,0.0,-0.028296539559960365,-0.03258240409195424,-0.028758471552282575,0.628980520398157,0.5816848208704686
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,raw,0.5,160,1080260,1.7916664566297147,1.7916664566297147,0.0,0.15932275558083928,0.1250698898247734,4.742246337102523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.574379184127502,0.574379184127502
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,a2_no_authorization,0.5,160,1080260,1.7916664566297147,1.7169486197470298,-0.074717843187589,0.1570242346293549,0.12141799203532869,4.481564271158602,0.0013881365215606197,0.34057263992001924,0.619629417216851,0.24128795813983048,0.10325579096277919,0.04844539486934655,0.05625,0.013284758664667606,0.00023185806130639742,0.00566348204389214,0.574379184127502,0.5299719030418756
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,m0_scared_only,0.5,160,1080260,1.7916664566297147,1.7363377200317047,-0.05532875754179705,0.15715105581928043,0.12178734705724376,4.53664748501404,0.0010728433125514344,0.08154240645770462,0.7670144289168663,0.016655564526189676,0.011571333410224482,0.008630926929268763,0.05625,0.009301092475652695,0.0005972830345854087,0.005422192234545942,0.574379184127502,0.5482817605874772
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,multidomain,0.5,160,1080260,1.7916664566297147,1.750423318339383,-0.04124315169811811,0.15742136094682627,0.12237609487950844,4.579379650930955,0.0006284703467194882,0.03635143391405773,0.8432605872316585,0.0038790800366252944,0.0034318560032765046,0.003581130009449499,0.03125,0.004485551733523607,-0.0030082550016231886,0.0019688216212671245,0.574379184127502,0.556202560342784
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,oracle_authorization,0.5,160,1080260,1.7916664566297147,1.6891724153221892,-0.10249406842881036,0.1525419806058525,0.12020346910249337,4.392518243644802,0.0,0.21556106863162572,0.9789746716939647,0.13224061594518446,0.0,0.0223347054353189,0.0,-0.01517859660089016,-0.026040487363934543,-0.018321606442332283,0.574379184127502,0.5299011987416798
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,raw,0.9,160,43664,1.6606329372927366,1.6606329372927366,0.0,0.2822233417104505,0.17311744249540836,2.9580706404997503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6115571828994159,0.6115571828994159
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,a2_no_authorization,0.9,160,43664,1.6606329372927366,1.5688405700243624,-0.09179237898081295,0.27068065212849773,0.16265115450311604,2.745045104020897,0.007118127739708007,0.43786643459142544,0.5892567602908102,0.26359109143726656,0.14344999308341402,0.0753213256355042,0.13043478260869565,1.2979710102081299,0.11852647624909884,0.4044767233729361,0.6115571828994159,0.5909416836366663
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,m0_scared_only,0.9,160,43664,1.6606329372927366,1.588070577602955,-0.07256236200132324,0.2712074022396468,0.1639565779176053,2.781712963362504,0.005123944102834589,0.18443111029681203,0.6905501055507265,0.04049661087287315,0.02849633420943422,0.02705781354857578,0.15217391304347827,1.277597188949585,0.17702435776591302,0.42874928385019173,0.6115571828994159,0.6070870744786575
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,multidomain,0.9,160,43664,1.6606329372927366,1.5969849002515824,-0.06364803623392684,0.2740930740282311,0.1661093809542759,2.8226413702262025,0.0045423071587445615,0.09941828508611213,0.6864777700990555,0.019331857794992392,0.017706460091298934,0.022019506076267455,0.10869565217391304,1.3146603107452393,0.04279379025101664,0.29991551399230926,0.6115571828994159,0.5979992611707076
SCARED-C-test,RAFT-Stereo,dataset_7_keyframe_3,oracle_authorization,0.9,160,43664,1.6606329372927366,1.5012966158976262,-0.1593363134941402,0.25822187500765914,0.15676529871120867,2.615994248369339,0.0,0.26307713448149506,0.9807608601027248,0.11329367824042053,0.0,0.025595463878538387,0.0,0.0,-0.04194808676838872,0.0,0.6115571828994159,0.5901471395808254
SCARED-C-test,StereoAnywhere,dataset_7_keyframe_3,raw,0.05,160,1683403,2.1762272983237674,2.1762272983237674,0.0,0.19912878892499705,0.14794556048990837,5.7617786114902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6657469423336281,0.6657469423336281
SCARED-C-test,StereoAnywhere,dataset_7_keyframe_3,a2_no_authorization,0.05,160,1683403,2.1762272983237674,2.0832540409265503,-0.09297325686426572,0.19450066333353436,0.1418751191596863,5.527090804538816,0.0015282172886726256,0.34013186384959515,0.596616362108984,0.22505043919401088,0.10936871537373659,0.04888282293264154,0.08125,0.021332021802663803,0.0038831945625133375,0.013731118869036435,0.6657469423336281,0.59319667347985
SCARED-C-test,StereoAnywhere,dataset_7_keyframe_3,m0_scared_only,0.05,160,1683403,2.1762272983237674,2.099215747358586,-0.07701156190983366,0.19544933609753626,0.14194462112177356,5.553470926850037,0.0011573178402431346,0.100791076171303,0.7694905464661229,0.017040662748303556,0.012923624356129903,0.009447526181227708,0.0375,0.018049420788884163,-0.003213554352987591,0.014081726670265176,0.6657469423336281,0.611411853962602
SCARED-C-test,StereoAnywhere,dataset_7_keyframe_3,multidomain,0.05,160,1683403,2.1762272983237674,2.1288063830605504,-0.047420922908357734,0.19708590300819717,0.1440516624325359,5.651523596854992,0.000709031466650549,0.038797008203026846,0.8495199889758234,0.0038753843758514653,0.0035623694419576247,0.00426122131400215,0.05,0.01778215542435646,-0.00043137818829564796,0.011592294285073858,0.6657469423336281,0.6323683219936292
