backbone,sequence,coverage_threshold,method,frames,valid_count,clean_count,changed_count,epe,raw_epe,bad1,bad3,bad5,boundary_epe,non_boundary_epe,p95_pixel_error,intervention_coverage,intervention_precision,false_update_rate,clean_pixel_degradation,new_bad3
S2M2-S,dataset_7_keyframe_3,0.05,raw,583,3399454,2608511,0,1.655693635276256,1.655693635276256,0.16755779054667452,0.1270824667773996,0.08919226449041626,4.728278024376855,1.0714826503796728,9.318757592926367,0.0,0.0,0.0,0.0,0.0
S2M2-S,dataset_7_keyframe_3,0.05,aligned_memory,583,3399454,2608511,1884243,1.6658385060656038,1.655693635276256,0.16871885904402126,0.12681330621656017,0.08909901449360531,4.763986837947263,1.0768578572275378,9.434327921241852,0.5542781281935275,0.5029850183866943,0.4836349166248484,0.20482873179373212,0.0037398717233837896
S2M2-S,dataset_7_keyframe_3,0.05,fixed_blend_50,583,3399454,2608511,1884243,1.655513174406042,1.655693635276256,0.16741247282417548,0.1269642125489837,0.08910225006367443,4.7372980888441365,1.069529028668572,9.356121169767308,0.5542781281935275,0.5456897013814036,0.4836349166248484,0.1749726184785113,0.0017964033839202053
S2M2-S,dataset_7_keyframe_3,0.05,oracle_raw_memory,583,3399454,2608511,976789,1.5867122018426432,1.655693635276256,0.16255286897858667,0.12439144662866834,0.08704574334878618,4.5693667207601445,1.019561651217194,9.126245298033641,0.2873370252987686,0.9702668641845885,0.26795171651566735,0.0,0.0
S2M2-S,dataset_7_keyframe_3,0.05,learned_no_abstention,583,3399454,2608511,180476,1.6434082913561627,1.655693635276256,0.16577368064308834,0.1262549809701641,0.08850156571619186,4.692296586297978,1.0631527700641794,9.268889666242702,0.05308970205215308,0.6878144462421596,0.024687647473980365,0.010454623346422538,0.00018263333981227275
S2M2-S,dataset_7_keyframe_3,0.05,learned_calibrated,583,3399454,2608511,123268,1.6457171345239716,1.655693635276256,0.16587016669089472,0.1264361864005827,0.08865982630430379,4.6999415788534895,1.0644786637292005,9.280780397448673,0.03626111722647225,0.7284047765843528,0.014215006185521165,0.00550007264680885,0.0001409531920581095
S2M2-S,dataset_7_keyframe_3,0.05,unwarped_previous_control,583,3399454,2608511,1884243,1.620281056552924,1.655693635276256,0.16723891566354623,0.12524805490988486,0.08741050784144304,4.584342643639089,1.0617925198951204,9.120567062067336,0.5542781281935275,0.5015881709524727,0.4836349166248484,0.20508289978458974,0.006432941941888649
S2M2-S,dataset_7_keyframe_3,0.05,identity_no_flow_control,583,3399454,2608511,1884243,1.620281056552924,1.655693635276256,0.16723891566354623,0.12524805490988486,0.08741050784144304,4.584342643639089,1.0617925198951204,9.120567062067336,0.5542781281935275,0.5015881709524727,0.4836349166248484,0.20508289978458974,0.006432941941888649
S2M2-S,dataset_7_keyframe_3,0.05,shuffled_memory_control,583,3399454,2608511,1884243,1.7904367877350276,1.655693635276256,0.18253284208645765,0.1320250250434731,0.09271018254437206,4.870429584178715,1.217883726402535,9.497661247031004,0.5542781281935275,0.4536490250992043,0.4836349166248484,0.21167478304672666,0.015858741972688314
S2M2-S,dataset_7_keyframe_3,0.25,raw,583,3271753,2558373,0,1.4759576176989289,1.4759576176989289,0.15346451859717167,0.11572328354453798,0.08019370629185865,4.365304763612389,1.0191079594735148,8.45408777646041,0.0,0.0,0.0,0.0,0.0
